Country,Market_Type,Commodity,Price,Currency,Date,Inflation_Rate,Hunger_Index
Ethiopia,Wholesale,Wheat,106.79,KES,04-12-2018,,31.22
India,Retail,Cooking Oil,117.45,KES,11-08-2019,,
Nigeria,Wholesale,Sugar,88.34,PKR,11-09-2017,,
India,Urban,Rice,82.72,HTG,13-04-2016,,
Haiti,Rural,Sugar,135.44,PKR,02-10-2016,6.02,
Haiti,Urban,Sugar,120.35,INR,12-03-2016,,31.22
Ethiopia,Wholesale,Wheat,108.62,ETB,24-07-2015,,
Ethiopia,Rural,Cooking Oil,149.98,YER,19-11-2017,6.02,31.22
Sudan,Urban,Sugar,46.49,NGN,13-08-2017,,
Haiti,Wholesale,Sugar,131.94,KES,05-06-2016,6.02,31.22
Yemen,Urban,Maize,114.95,NGN,13-08-2019,,
Yemen,Retail,Rice,41.8,YER,12-10-2015,,
Pakistan,Rural,Cooking Oil,146.65,PKR,16-04-2017,6.02,31.22
Haiti,Rural,Rice,123.59,YER,16-11-2018,6.02,
India,Rural,Wheat,128.93,HTG,20-10-2021,6.02,
India,Retail,Sugar,87.85,PKR,08-03-2018,6.02,31.22
Kenya,Rural,Sugar,130.5,YER,06-06-2022,6.02,
Nigeria,Retail,Pulses,70.76,NGN,20-10-2016,,
Nepal,Rural,Rice,46.18,SDG,10-02-2023,,
Yemen,Urban,Wheat,99.48,NPR,08-12-2018,,31.22
Ethiopia,Urban,Pulses,127,BDT,21-04-2019,6.02,31.22
Pakistan,Urban,Pulses,140.6,INR,15-02-2017,,
Nepal,Urban,Maize,106.03,NGN,08-10-2016,,31.22
Bangladesh,Retail,Pulses,102.94,HTG,21-01-2022,6.02,31.22
Pakistan,Wholesale,Pulses,140.57,PKR,24-12-2020,,31.22
Bangladesh,Wholesale,Maize,86.64,YER,25-01-2016,,31.22
Haiti,Urban,Sugar,,PKR,23-02-2021,,
Bangladesh,Wholesale,Sugar,164.73,INR,10-07-2016,6.02,
Bangladesh,,Cooking Oil,88.89,INR,19-09-2021,6.02,31.22
Sudan,Rural,Pulses,136.66,NGN,23-06-2020,,31.22
Sudan,Retail,Rice,154.39,INR,09-11-2021,6.02,
Sudan,Urban,Sugar,108.4,NPR,26-08-2024,,31.22
Haiti,Wholesale,Wheat,110.55,NGN,15-01-2018,6.02,
Nepal,Wholesale,Rice,171.91,NPR,08-08-2020,6.02,
Pakistan,Urban,Cooking Oil,47.68,PKR,17-05-2018,,
Pakistan,Rural,Pulses,47,INR,12-08-2015,,
Ethiopia,Urban,Maize,132.62,ETB,30-06-2018,6.02,
Sudan,Rural,Cooking Oil,83.65,NGN,06-11-2023,6.02,
Haiti,Wholesale,Rice,134.46,KES,14-01-2024,,
Ethiopia,Retail,Maize,97.74,PKR,11-12-2023,,
Nigeria,Rural,Wheat,133.31,YER,01-11-2018,,31.22
Ethiopia,Rural,Maize,64.74,BDT,31-12-2020,6.02,
Nepal,Urban,Maize,124.52,PKR,10-05-2015,,31.22
Yemen,Wholesale,Wheat,79.96,HTG,28-07-2020,6.02,31.22
Bangladesh,Retail,Sugar,128.81,SDG,14-01-2019,6.02,31.22
Sudan,Urban,Sugar,194.58,YER,10-07-2023,,31.22
Yemen,Urban,Maize,,BDT,11-09-2019,6.02,31.22
Ethiopia,Retail,Maize,85.84,ETB,13-06-2023,6.02,
Haiti,,Cooking Oil,94.89,INR,10-04-2023,6.02,
Bangladesh,Retail,Sugar,112.91,NGN,26-04-2023,,
Pakistan,Urban,Wheat,8.35,BDT,05-08-2024,6.02,31.22
India,Urban,Pulses,101.33,HTG,03-11-2019,,
Bangladesh,Rural,Pulses,91.26,SDG,27-12-2018,6.02,31.22
Nepal,Retail,Maize,91.54,SDG,22-06-2016,6.02,
Nepal,Retail,Maize,111.78,INR,06-10-2021,6.02,31.22
Ethiopia,Retail,Pulses,114.16,YER,14-09-2018,,31.22
Nigeria,Urban,Cooking Oil,113.54,BDT,20-07-2017,,31.22
Nepal,Wholesale, ,56.92,BDT,26-03-2019,6.02,
Nepal,Urban,Cooking Oil,89.98,NGN,28-02-2020,6.02,31.22
Haiti,Rural,Rice,88.31,BDT,26-01-2023,6.02,
Ethiopia,Urban,Wheat,121.09,KES,26-03-2015,6.02,
Bangladesh,Urban,Rice,61.36,HTG,18-05-2017,,31.22
Nigeria,Urban,Maize,107.73,ETB,11-08-2020,6.02,31.22
Yemen,Rural,Cooking Oil,164.35,NGN,26-07-2015,6.02,
India,Retail,Cooking Oil,-6.43,NPR,16-02-2016,,31.22
Sudan,Wholesale,Pulses,93.2,INR,02-04-2022,6.02,
Pakistan,Wholesale,Pulses,,HTG,01-05-2015,6.02,
Nepal,Rural,Cooking Oil,100.01,NPR,20-01-2019,,
Ethiopia,Retail,Sugar,133.42,NGN,15-04-2019,6.02,
Sudan,Retail,Pulses,79.56,YER,09-01-2015,6.02,31.22
Pakistan,Rural,Wheat,137.04,ETB,08-11-2015,,31.22
Pakistan,Urban,Rice,154.43,ETB,11-11-2022,6.02,
Yemen,Retail,Wheat,116.07,SDG,20-12-2023,6.02,31.22
Yemen,Wholesale,Pulses,79.4,BDT,08-04-2017,,31.22
Yemen,Rural,Cooking Oil,121.44,HTG,14-05-2016,,31.22
Kenya,Wholesale,Maize,167.24,BDT,04-02-2023,,
Kenya,Urban,Sugar,46.75,ETB,17-04-2020,6.02,
Pakistan,Rural,Pulses,,HTG,21-05-2022,,
Yemen,Wholesale,Wheat,48.44,BDT,25-05-2015,6.02,
Haiti,Wholesale,Maize,39.3,HTG,05-02-2016,6.02,31.22
Nepal,Urban,Pulses,50.66,NPR,22-02-2023,,
Sudan,Rural,Cooking Oil,98.42,YER,16-11-2016,,
Sudan,Retail,Cooking Oil,150.52,PKR,04-05-2019,,31.22
Kenya,Retail,Cooking Oil,19.56,BDT,24-01-2017,,
Pakistan,Wholesale,Cooking Oil,139.58,SDG,27-04-2016,6.02,
Ethiopia,Urban,Pulses,93.88,BDT,17-11-2020,6.02,
Bangladesh,Wholesale,Sugar,55.88,KES,11-05-2018,6.02,
Bangladesh,Urban,Sugar,123.66,ETB,24-12-2023,,
Kenya,Retail,Wheat,81.01,SDG,06-04-2022,,31.22
Ethiopia,Wholesale,Pulses,190.36,KES,28-08-2022,6.02,31.22
Kenya,Wholesale,Cooking Oil,119.94,SDG,24-02-2017,,
Bangladesh,Urban,Sugar,102.24,ETB,17-06-2020,6.02,31.22
Ethiopia,Rural,Pulses,125.93,KES,03-05-2021,,31.22
Yemen,Urban,Maize,153.74,HTG,20-05-2016,,31.22
Pakistan,Rural,Sugar,157.63,SDG,16-04-2021,,
Sudan,Retail,Sugar,137.12,HTG,14-03-2016,,31.22
Haiti,Wholesale,Wheat,155.07,NPR,28-10-2019,6.02,31.22
Nigeria,Wholesale,Sugar,148.13,HTG,22-01-2016,,31.22
Pakistan,Urban,Maize,136.37,YER,25-01-2019,6.02,31.22
Yemen,Urban,Cooking Oil,84.23,BDT,18-12-2021,,
Bangladesh,Retail,Rice,150.29,PKR,07-09-2016,,
Yemen,Retail,Wheat,82.85,HTG,21-04-2023,6.02,31.22
Kenya,Rural,Maize,110.54,BDT,17-10-2016,,31.22
Ethiopia,Retail,Wheat,84.95,PKR,12-07-2020,6.02,
Sudan,Retail,Pulses,126.96,NGN,17-05-2015,,
Nepal,Retail,Cooking Oil,151.18,BDT,12-03-2022,,31.22
Kenya,Retail,Sugar,,SDG,22-06-2015,6.02,31.22
pakistan,Rural,Pulses,43.53,NPR,11-08-2020,,31.22
Kenya,Retail,Sugar,140.42,PKR,16-02-2018,6.02,31.22
Pakistan,Rural, ,141.42,BDT,06-05-2017,,31.22
Nepal,Urban,Cooking Oil,162.58,ETB,12-05-2016,,
India,Wholesale,Rice,135.76,BDT,17-02-2018,6.02,
Sudan,Urban,Rice,136.68,BDT,08-10-2022,6.02,31.22
Haiti,Retail,Sugar,71.3,YER,10-06-2024,,31.22
Haiti,Wholesale,Pulses,129.48,ETB,01-04-2023,6.02,
Nigeria,Retail,Cooking Oil,185.87,KES,29-05-2015,,31.22
Yemen,Retail,Cooking Oil,77.88,BDT,29-11-2022,6.02,
India,Urban,Maize,51.28,NPR,04-05-2017,6.02,31.22
Haiti,Retail,Pulses,,ETB,16-03-2021,,31.22
Kenya,Urban,Rice,137.5,NPR,08-02-2021,6.02,
Yemen,Retail,Maize,,NGN,07-01-2022,,
India,Rural,Wheat,171.35,YER,23-07-2016,6.02,31.22
Ethiopia,Wholesale,Cooking Oil,65.58,NGN,17-07-2015,,
Ethiopia,Urban,Rice,39.38,BDT,07-06-2024,,
Yemen,Urban, ,157.16,BDT,06-01-2019,,
Pakistan,Wholesale,Sugar,43.68,PKR,25-06-2023,6.02,31.22
Pakistan,Urban,Wheat,112.68,BDT,10-11-2021,,31.22
Kenya,Wholesale,Maize,156.07,NPR,30-11-2020,,
India,Rural,Sugar,108.65,HTG,19-07-2022,,31.22
India,Retail,Rice,72.08,SDG,06-06-2018,,
Yemen,Rural,Rice,150.89,INR,04-08-2021,,
Bangladesh,Retail,Wheat,106.83,KES,09-11-2018,,
Ethiopia,Wholesale,Sugar,91.17,NGN,04-01-2019,,
India,Rural,Cooking Oil,165.74,NPR,05-09-2023,6.02,
Yemen,Retail,Rice,,HTG,29-03-2024,,31.22
Nepal,Wholesale,Pulses,76.03,NPR,12-12-2016,,31.22
Nigeria,Retail,Cooking Oil,63.89,SDG,10-11-2017,,31.22
Nepal,Urban,Cooking Oil,148.64,NPR,15-07-2017,6.02,31.22
Sudan,Urban,Maize,117.11,INR,24-06-2015,,
Kenya,Wholesale,Maize,80.5,NPR,06-10-2015,6.02,31.22
India,Retail,Rice,42.44,INR,27-07-2015,,
Sudan,Urban,Cooking Oil,156.35,BDT,15-06-2019,,
Haiti,Rural,Maize,81.09,ETB,13-02-2017,,
Sudan,Retail,Sugar,27.23,BDT,08-11-2018,,31.22
Yemen,Retail,Sugar,103.49,NGN,10-06-2021,6.02,31.22
India,Urban,Sugar,141.31,BDT,07-08-2022,,
Nigeria,Urban,Sugar,128.81,YER,18-09-2017,6.02,31.22
Yemen,Wholesale,Cooking Oil,103.25,NGN,24-11-2019,6.02,31.22
Yemen,Retail,Sugar,82.33,PKR,19-05-2024,6.02,
Kenya,Rural,Cooking Oil,77.57,BDT,09-09-2020,6.02,31.22
Kenya,Urban,Rice,151.04,YER,05-05-2015,6.02,31.22
Ethiopia,Retail,Rice,21.89,SDG,06-03-2016,,31.22
Ethiopia,Urban,Sugar,62.03,HTG,10-05-2017,6.02,
Pakistan,Wholesale,Sugar,96.17,BDT,08-12-2016,,
Bangladesh,Retail,Sugar,20.23,NGN,07-08-2018,6.02,31.22
India,Retail,Rice,91.28,NGN,03-04-2016,6.02,31.22
India,Wholesale,Maize,50.92,PKR,23-11-2017,6.02,31.22
Sudan,Rural,Rice,118.99,YER,22-08-2022,6.02,31.22
India,Urban,Sugar,77.07,NGN,07-11-2024,,31.22
India,Wholesale,Maize,84.01,NGN,07-12-2015,,31.22
Bangladesh,Retail,Maize,74.28,NPR,26-11-2022,,
Haiti,Wholesale,Wheat,127.05,BDT,22-09-2018,,31.22
Ethiopia,Retail,Cooking Oil,97.24,BDT,16-11-2023,6.02,
Ethiopia,Wholesale,Sugar,,KES,15-03-2018,,31.22
Nigeria,Rural,Cooking Oil,148.32,KES,23-04-2019,,
India,Retail,Wheat,88.52,KES,16-11-2015,,
Bangladesh,Wholesale,Cooking Oil,72.12,PKR,28-06-2023,6.02,
Ethiopia,Rural,Sugar,83.24,ETB,09-01-2016,,31.22
Bangladesh,Rural,Wheat,206.47,YER,06-01-2016,6.02,
Nepal,Urban,Cooking Oil,75.3,ETB,09-06-2023,,
Haiti,Retail,Rice,93.01,INR,14-12-2019,,
India,Urban,Maize,108.58,NPR,29-09-2021,,
Nigeria,Rural,Wheat,121.86,NPR,24-03-2023,,31.22
Sudan,Urban,Rice,104.13,BDT,12-02-2018,6.02,
Ethiopia,Urban,Sugar,170.96,YER,01-11-2020,6.02,
Nepal,Wholesale,Maize,109.44,SDG,05-06-2019,6.02,
Bangladesh,Urban, ,94.03,SDG,05-08-2016,,
Kenya,Rural,Maize,138.24,PKR,01-06-2017,,
Yemen,Urban,Pulses,64.53,BDT,15-12-2017,6.02,31.22
India,Retail,Pulses,121.57,HTG,20-05-2017,,
India,Wholesale,Wheat,85.17,PKR,27-10-2015,6.02,31.22
Nepal,Rural,Wheat,151.43,BDT,19-03-2021,,31.22
Bangladesh,Urban,Cooking Oil,154.5,BDT,22-07-2017,6.02,
Pakistan,Retail,Maize,,INR,21-08-2015,6.02,31.22
India,Rural,Pulses,65.18,ETB,03-02-2021,6.02,31.22
Pakistan,Urban,Pulses,25.51,YER,15-03-2015,,
Kenya,Wholesale,Maize,109.01,KES,13-03-2024,,
Nepal,Urban,Pulses,,KES,15-01-2023,,
bangladesh,Rural,Rice,96.6,KES,01-10-2018,,31.22
Bangladesh,Rural,Pulses,77.56,PKR,22-02-2015,6.02,
Haiti,Rural,Pulses,122.32,NGN,26-12-2018,,31.22
Yemen,Retail,Sugar,99.45,PKR,17-11-2021,6.02,
Ethiopia,Urban,Rice,77.35,HTG,17-09-2022,,
Ethiopia,Urban,Cooking Oil,133.96,BDT,09-03-2020,6.02,31.22
Sudan,Urban,Wheat,56.35,HTG,28-04-2015,6.02,
Nigeria,Wholesale,Pulses,122.52,NGN,15-03-2021,,31.22
Nepal,Retail,Cooking Oil,,ETB,22-11-2024,,31.22
Kenya,Retail,Cooking Oil,138.62,HTG,06-12-2019,6.02,
Bangladesh,Wholesale,Rice,83.78,YER,21-04-2022,6.02,31.22
Yemen,Retail, ,59.27,SDG,19-10-2022,,
Pakistan,Wholesale,Sugar,137.39,HTG,09-10-2015,6.02,
Nepal,Rural,Cooking Oil,51.03,YER,23-03-2024,6.02,
Sudan,Rural,Sugar,100.24,BDT,14-12-2016,6.02,31.22
Nepal,Retail,Wheat,128.98,NGN,23-03-2024,,31.22
Sudan,Rural,Wheat,59.64,YER,09-04-2022,,31.22
Bangladesh,Rural,Rice,,KES,08-07-2023,,
Nigeria,Rural,Maize,47.29,HTG,02-09-2018,6.02,
Sudan,Urban,Pulses,163.78,ETB,28-03-2024,6.02,
Bangladesh,Rural,Rice,167.94,ETB,26-07-2017,,31.22
Bangladesh,Urban,Sugar,167.34,HTG,26-03-2017,,31.22
Nigeria,Wholesale,Rice,172.7,HTG,11-11-2019,,
Ethiopia,Wholesale,Wheat,74.68,KES,05-02-2021,6.02,
Nepal,Wholesale,Cooking Oil,27.49,SDG,07-11-2023,,31.22
India,Wholesale,Pulses,168.13,HTG,24-03-2018,,31.22
India,Wholesale,Pulses,137.17,PKR,16-05-2020,6.02,31.22
Pakistan,Rural,Maize,133.95,NPR,26-03-2018,6.02,31.22
Pakistan,Rural,Wheat,58.4,HTG,22-04-2020,6.02,
India,Rural,Pulses,103.88,INR,28-08-2021,,31.22
Kenya,Wholesale,Pulses,106.37,INR,24-12-2022,6.02,31.22
India,Wholesale,Cooking Oil,97.47,ETB,20-05-2021,,
Pakistan,Urban,Sugar,65.99,NPR,14-07-2020,6.02,
Yemen,Retail,Sugar,23.96,NPR,07-12-2019,6.02,
Pakistan,Rural,Sugar,69.89,KES,03-11-2021,,
Kenya,Retail,Rice,-14.86,PKR,06-08-2021,,31.22
Nepal,Wholesale,Sugar,,HTG,21-04-2016,,
India,Wholesale,Sugar,75.4,HTG,13-03-2018,6.02,31.22
Nigeria,Wholesale,Rice,53.29,NGN,17-11-2020,6.02,31.22
Yemen,Retail,Cooking Oil,116.03,PKR,14-09-2015,6.02,31.22
Bangladesh,Urban,Wheat,86.27,PKR,12-07-2019,,
Kenya,Wholesale,Pulses,89.15,NGN,02-05-2024,,
Pakistan,Urban,Maize,155.64,NPR,01-09-2021,6.02,31.22
Nigeria,Urban,Pulses,87.16,HTG,15-10-2019,6.02,31.22
Sudan,Rural,Sugar,118.15,PKR,12-05-2015,6.02,
Ethiopia,Retail,Sugar,56.68,PKR,28-04-2022,6.02,
India,Wholesale,Pulses,110.22,INR,17-09-2021,,31.22
Ethiopia,Urban,Pulses,,INR,15-11-2015,,
Kenya,Retail,Sugar,103.7,INR,11-04-2016,6.02,
Sudan,Retail, ,51.01,NPR,13-03-2017,,31.22
Sudan,Wholesale,Rice,54.81,HTG,03-12-2020,,
Sudan,Rural,Rice,86.15,NGN,23-03-2017,6.02,31.22
Bangladesh,Rural,Maize,153.23,NPR,26-07-2023,6.02,
Kenya,Urban,Wheat,42.39,KES,10-06-2024,6.02,31.22
Nepal,Rural,Sugar,,PKR,25-10-2016,,31.22
Ethiopia,Rural,Cooking Oil,71.74,KES,12-05-2021,,
Nepal,Rural,Pulses,103.32,ETB,12-05-2016,,
Nigeria,Retail,Pulses,140.1,BDT,01-05-2020,,
Haiti,Wholesale,Sugar,85.77,ETB,27-12-2021,6.02,31.22
Yemen,Retail,Sugar,,YER,12-11-2023,6.02,
Yemen,Retail,Sugar,157.86,NPR,01-06-2015,6.02,31.22
Nepal,Wholesale,Pulses,143.87,NPR,28-12-2023,6.02,31.22
Haiti,Retail,Sugar,128.03,INR,16-05-2021,6.02,
Haiti,Urban,Pulses,94.16,PKR,11-09-2018,6.02,31.22
India,Urban,Wheat,96.94,KES,30-01-2018,6.02,31.22
Nigeria,Retail,Cooking Oil,57.11,YER,27-08-2021,,31.22
Kenya,Rural,Rice,88.63,HTG,29-10-2018,6.02,
Haiti,Retail,Cooking Oil,102.7,HTG,13-09-2022,,
Pakistan,Rural,Sugar,98.66,KES,08-10-2015,,
Yemen,Retail,Cooking Oil,111.84,INR,02-12-2021,6.02,
Pakistan,Urban,Sugar,144.46,INR,09-04-2016,,
Nigeria,Rural,Cooking Oil,39.55,SDG,16-01-2019,,
Haiti,Urban,Maize,74.67,BDT,30-09-2015,,
Ethiopia,Retail,Cooking Oil,145.78,SDG,20-12-2024,,
Yemen,Wholesale,Rice,198.65,PKR,29-08-2024,6.02,31.22
India,Rural,Rice,57.05,INR,05-01-2022,,31.22
India,Rural,Cooking Oil,74.99,NPR,03-05-2024,6.02,
Sudan,Retail,Pulses,47.65,YER,04-06-2016,,31.22
Bangladesh,Retail,Pulses,,KES,23-09-2019,,31.22
Haiti,Rural,Pulses,110.98,NGN,20-02-2018,6.02,
Nigeria,Wholesale,Cooking Oil,123.77,YER,14-04-2015,6.02,
Yemen,Retail,Pulses,88.01,NGN,11-01-2018,,
Bangladesh,Retail,Wheat,88.38,KES,06-02-2018,6.02,
Nigeria,Retail,Cooking Oil,95.56,HTG,27-09-2023,6.02,
Nepal,,Rice,77.26,ETB,15-01-2019,6.02,
haiti,Rural,Pulses,98.26,KES,20-06-2017,6.02,
Kenya,Urban,Maize,155.48,ETB,13-01-2024,6.02,31.22
Kenya,Retail,Pulses,66.9,BDT,14-07-2018,,
Haiti,Wholesale,Rice,88.68,NPR,05-07-2017,6.02,31.22
Sudan,Rural,Wheat,94.89,PKR,05-06-2020,,31.22
Sudan,Rural,Cooking Oil,77.3,INR,18-12-2021,,
Kenya,Wholesale,Pulses,102.72,NPR,05-08-2015,,
Ethiopia,Retail,Maize,0,BDT,22-07-2019,6.02,31.22
Yemen,Urban,Rice,122.92,ETB,22-05-2021,,
Kenya,Retail,Maize,61.11,YER,21-04-2023,6.02,31.22
Ethiopia,Rural,Sugar,66.37,BDT,04-06-2024,6.02,31.22
Bangladesh,Urban,Rice,,PKR,22-10-2016,6.02,31.22
Ethiopia,Retail,Sugar,44.41,NPR,23-12-2024,,31.22
Bangladesh,Urban,Maize,153.25,KES,07-08-2020,6.02,31.22
Nigeria,Wholesale,Cooking Oil,67.05,BDT,31-10-2016,,
Pakistan,Retail,Cooking Oil,205.31,NPR,20-07-2020,6.02,31.22
Nigeria,Rural,Cooking Oil,125.21,PKR,20-11-2023,,31.22
Kenya,Rural,Sugar,77.27,KES,02-06-2020,,
Bangladesh,Urban,Cooking Oil,87.74,BDT,10-05-2021,6.02,31.22
Kenya,Wholesale,Wheat,105.94,NPR,28-01-2020,6.02,
Haiti,Retail,Rice,167.95,ETB,22-09-2024,6.02,
Yemen,Wholesale,Rice,138.01,YER,25-06-2022,,31.22
India,Wholesale,Maize,135.01,PKR,27-01-2020,6.02,
Kenya,Urban,Pulses,87.78,INR,07-10-2020,,31.22
Yemen,Urban,Sugar,77.32,YER,02-10-2021,,31.22
Ethiopia,Retail,Rice,125.5,NPR,04-07-2019,,31.22
Nigeria,Rural,Sugar,153.34,PKR,30-11-2018,6.02,31.22
Ethiopia,Retail,Maize,94.48,BDT,03-06-2024,6.02,31.22
India,Wholesale,Cooking Oil,72.61,YER,08-07-2017,6.02,
Bangladesh,Urban,Pulses,58.67,SDG,31-12-2023,6.02,
Haiti,Wholesale,Maize,33.06,NPR,23-08-2018,,31.22
Yemen,Urban,Wheat,,BDT,13-10-2020,,31.22
Haiti,Rural,Cooking Oil,89.82,KES,23-11-2018,6.02,31.22
Pakistan,Wholesale,Cooking Oil,99.2,ETB,16-02-2016,6.02,31.22
Kenya,Urban,Cooking Oil,121.67,BDT,06-02-2024,,
Bangladesh,Retail,Maize,,ETB,25-10-2015,6.02,31.22
pakistan,Retail,Wheat,171.81,NGN,17-03-2018,,31.22
Nepal,Retail,Pulses,54.45,PKR,06-08-2020,,
Kenya,Wholesale,Sugar,,NPR,13-01-2024,6.02,
Ethiopia,Urban,Maize,51.22,PKR,29-10-2022,,
Nigeria,Urban,Rice,65.98,NGN,30-07-2022,,
Yemen,Urban,Rice,111.24,SDG,05-05-2018,,
India,,Maize,141.75,NPR,09-04-2021,6.02,31.22
India,Urban,Sugar,88.82,ETB,13-07-2022,,31.22
Ethiopia,Rural,Rice,103.38,BDT,27-01-2021,6.02,31.22
Sudan,Wholesale,Sugar,,NPR,23-01-2017,,31.22
India,Rural, ,51.11,HTG,26-01-2019,6.02,
Yemen,Rural,Maize,130.8,NGN,15-09-2015,,
Ethiopia,Retail,Cooking Oil,72.44,SDG,24-11-2021,,
Bangladesh,Wholesale,Rice,109.72,HTG,31-05-2015,,
India,Urban, ,121.59,NPR,26-06-2017,,
Haiti,Rural,Cooking Oil,52.97,PKR,24-12-2018,6.02,31.22
Ethiopia,Wholesale,Rice,70.14,SDG,06-11-2018,,31.22
Yemen,Urban,Wheat,126.63,YER,11-12-2018,,31.22
Haiti,Retail,Cooking Oil,89.6,NPR,25-03-2024,6.02,
Kenya,Wholesale,Wheat,71.45,PKR,03-04-2021,,31.22
Kenya,Wholesale,Wheat,107.79,ETB,22-03-2018,,31.22
India,Wholesale,Pulses,56.82,BDT,16-03-2024,6.02,31.22
Haiti,Urban,Rice,52.69,KES,02-10-2021,,
Nigeria,Rural,Maize,4.46,ETB,09-03-2022,6.02,
Kenya,Rural,Sugar,114.39,ETB,30-07-2024,,
Nigeria,Wholesale,Rice,101.28,SDG,15-01-2019,6.02,31.22
Bangladesh,Wholesale,Pulses,121.62,HTG,10-09-2022,,31.22
Ethiopia,Urban,Pulses,148.87,PKR,06-12-2023,6.02,
Pakistan,Retail,Cooking Oil,90.35,INR,15-01-2021,6.02,31.22
Yemen,Wholesale,Sugar,97.22,PKR,14-04-2020,6.02,31.22
ethiopia,Wholesale,Pulses,113.73,KES,10-09-2020,,31.22
Yemen,Retail,Maize,77.2,INR,27-06-2021,,31.22
Haiti,Wholesale,Rice,41.69,BDT,08-10-2020,6.02,
Bangladesh,Rural,Maize,53.94,KES,28-05-2023,,31.22
Nepal,Wholesale,Cooking Oil,98.41,SDG,25-11-2023,6.02,
India,Rural,Rice,139.99,SDG,07-11-2019,6.02,
Yemen,Urban, ,162.69,SDG,02-03-2021,,31.22
Yemen,Urban,Sugar,88.61,YER,04-07-2024,6.02,
Haiti,Rural,Sugar,106.71,NGN,02-12-2020,,
Nigeria,Rural,Maize,174.83,BDT,14-09-2022,6.02,31.22
Ethiopia,Retail,Maize,120.67,SDG,27-12-2017,,
Nepal,Rural,Sugar,105.49,KES,31-05-2018,6.02,31.22
Sudan,Rural,Wheat,108.41,INR,05-10-2021,6.02,31.22
India,Wholesale,Sugar,123.28,HTG,11-11-2018,,31.22
Pakistan,Retail,Rice,51.19,SDG,29-09-2017,,31.22
Sudan,Rural,Cooking Oil,130.42,NGN,26-08-2018,,31.22
Ethiopia,Rural,Sugar,117.56,ETB,23-04-2017,6.02,
India,Rural,Sugar,143.53,SDG,24-06-2022,6.02,
Yemen,Wholesale,Pulses,,ETB,07-03-2021,,
Pakistan,Wholesale,Cooking Oil,140.85,KES,21-07-2019,,
Nigeria,Wholesale,Pulses,63.08,YER,31-10-2016,,31.22
Nepal,Urban,Cooking Oil,76.14,PKR,27-05-2017,,
Nigeria,Wholesale,Rice,106.11,BDT,22-08-2016,,
Bangladesh,Rural,Cooking Oil,69.95,KES,27-06-2020,,31.22
Haiti,Wholesale,Maize,134.22,ETB,13-08-2021,,31.22
India,Wholesale, ,,YER,09-05-2019,,
Nigeria,Retail,Cooking Oil,93.62,NGN,10-12-2024,,31.22
Sudan,Rural,Rice,77.34,HTG,21-10-2022,,31.22
Haiti,Wholesale,Cooking Oil,70.3,PKR,11-04-2019,6.02,
Nigeria,Urban,Sugar,45.16,YER,13-09-2018,,
Kenya,Retail,Wheat,101.67,HTG,16-01-2018,6.02,
Bangladesh,Wholesale,Cooking Oil,96.68,SDG,24-11-2020,6.02,31.22
Ethiopia,Retail,Maize,176.18,PKR,25-08-2015,6.02,
Nepal,Retail,Sugar,199.52,NPR,28-08-2018,6.02,
Bangladesh,Urban,Rice,57.28,NGN,23-07-2015,6.02,
Haiti,Urban,Sugar,23.88,ETB,03-08-2016,6.02,
Kenya,Urban,Pulses,51.97,KES,24-03-2022,6.02,
India,Rural,Wheat,97.53,SDG,06-06-2020,,
Sudan,Retail,Rice,145.01,NPR,13-05-2017,,
Nepal,Wholesale,Wheat,80.74,ETB,20-08-2019,6.02,
Nepal,Urban,Wheat,123.13,YER,29-04-2023,6.02,31.22
Bangladesh,Urban,Maize,68.04,SDG,22-05-2017,6.02,31.22
Haiti,Retail,Cooking Oil,80.52,NGN,10-04-2023,6.02,31.22
India,Retail,Maize,106.67,YER,14-11-2022,6.02,31.22
Yemen,Retail,Maize,99.55,SDG,20-06-2016,,31.22
Kenya,Wholesale,Pulses,98.56,PKR,25-08-2017,6.02,
Yemen,Rural,Maize,56.73,BDT,05-09-2020,6.02,
Sudan,Rural,Rice,149.04,YER,19-05-2024,,
India,Urban,Cooking Oil,148.73,SDG,17-06-2016,6.02,31.22
India,Rural,Cooking Oil,149.4,BDT,24-08-2017,6.02,31.22
Kenya,Wholesale,Rice,72.91,PKR,09-01-2017,6.02,
Pakistan,Rural,Maize,104.78,BDT,13-01-2020,,31.22
Yemen,Wholesale,Maize,,BDT,20-12-2023,6.02,
Nigeria,Urban,Wheat,61.01,SDG,28-03-2020,,
Nepal,Retail,Wheat,111.4,YER,07-11-2015,,31.22
Pakistan,Wholesale,Pulses,15.11,PKR,01-05-2021,,
Nigeria,Retail,Sugar,133.87,ETB,23-07-2023,6.02,31.22
Haiti,Urban, ,53.49,ETB,08-01-2023,6.02,
Kenya,Wholesale,Cooking Oil,87.48,BDT,30-01-2020,6.02,
Haiti,Wholesale,Rice,9.24,NPR,09-01-2016,6.02,31.22
Nepal,Rural,Maize,172.31,HTG,12-04-2022,,31.22
Ethiopia,Wholesale,Sugar,126.33,INR,26-07-2024,,31.22
Nigeria,Urban,Wheat,103.43,BDT,08-08-2015,6.02,31.22
Pakistan,Retail,Sugar,72.47,NGN,09-02-2019,6.02,
Nigeria,Wholesale,Rice,,SDG,03-06-2016,6.02,
Nigeria,Urban,Rice,91.99,KES,29-12-2015,,
Kenya,Urban,Sugar,112.09,INR,18-02-2023,6.02,31.22
